Nama,Brand,Rilis,Harga_Varian,RAM,Memori_Internal,Chipset,Kamera_Utama,Baterai,Charger,OS,URL
Advan Macha 5G (8GB/256GB),ADVAN,2025,3099000,8,256,Mediatek Dimensity 7060,50 MP • Wide ; Depth,5000,33,"Android 15, dido OS",https://carisinyal.com/hp/advan-macha-5g/
Advan X1 (8GB/128GB),ADVAN,2025,1899000,8,128,MediaTek Helio G100,64 MP • Wide ; AI ; AI,5000,18,Android 14,https://carisinyal.com/hp/advan-x1/
Advan Tab A10 (4GB/64GB),ADVAN,2024,1299000,4,64,Allwinner A523,5 MP • Wide,5000,10,Android 14,https://carisinyal.com/hp/advan-tab-a10/
Advan Tab VX Neo (4GB/128GB),ADVAN,2024,1899000,4,128,UNISOC T606,8 MP • Wide,6200,10,Android 14,https://carisinyal.com/hp/advan-vx-neo/
Advan Tab Sketsa 3 (6GB/128GB),ADVAN,2023,2399000,6,128,UNISOC T606,8 MP • Wide,6000,10,Android 13,https://carisinyal.com/hp/advan-sketsa-3/
Advan Tab Sketsa 3 (8GB/128GB),ADVAN,2023,2599000,8,128,UNISOC T606,8 MP • Wide,6000,10,Android 13,https://carisinyal.com/hp/advan-sketsa-3/
ASUS ROG Phone 9 Pro Edition (24GB/1024GB),ASUS,2024,21999000,24,1024,Qualcomm Snapdragon 8 Elite,50 MP • Wide • f/1.9 ; 13 MP • Ultrawide • f/2.2 ; 32 MP • Telephoto • f/2.4,5800,65,"Android 15, ROG UI",https://carisinyal.com/hp/asus-rog-phone-9-pro-edition/
ASUS ROG Phone 9 Pro (16GB/512GB),ASUS,2024,11999000,16,512,Qualcomm Snapdragon 8 Elite,50 MP • Wide • f/1.9 ; 13 MP • Ultrawide • f/2.2 ; 32 MP • Telephoto • f/2.4,5800,65,"Android 15, ROG UI",https://carisinyal.com/hp/asus-rog-phone-9-pro/
ASUS ROG Phone 9 FE (12GB/256GB),ASUS,2025,6999000,12,256,Qualcomm Snapdragon 8 Gen 3,50 MP • Wide • f/1.9 ; 13 MP • Ultrawide • f/2.2 ; 5 MP • Telephoto • f/2.4,5500,65,"Android 15, ROG UI",https://carisinyal.com/hp/asus-rog-phone-9-fe/
ASUS ROG Phone 9 FE (12GB/512GB),ASUS,2025,7999000,12,512,Qualcomm Snapdragon 8 Gen 3,50 MP • Wide • f/1.9 ; 13 MP • Ultrawide • f/2.2 ; 5 MP • Telephoto • f/2.4,5500,65,"Android 15, ROG UI",https://carisinyal.com/hp/asus-rog-phone-9-fe/
ASUS Zenfone 11 Ultra (12GB/256GB),ASUS,2024,7499000,12,256,Qualcomm Snapdragon 8 Gen 3,50 MP • Wide • f/1.9 ; 13 MP • Ultrawide • f/2.2 ; 32 MP • Telephoto • f/2.4,5500,65,Android 14,https://carisinyal.com/hp/asus-zenfone-11-ultra/
ASUS Zenfone 11 Ultra (16GB/512GB),ASUS,2024,9499000,16,512,Qualcomm Snapdragon 8 Gen 3,50 MP • Wide • f/1.9 ; 13 MP • Ultrawide • f/2.2 ; 32 MP • Telephoto • f/2.4,5500,65,Android 14,https://carisinyal.com/hp/asus-zenfone-11-ultra/
iPad Pro 11 M5 (WiFi) (12GB/256GB),APPLE,2025,20499000,12,256,Apple M5,12 MP • Wide • f/1.8,8160,29,iPadOS 26,https://carisinyal.com/hp/apple-ipad-pro-11-m5-2025/
iPad Pro 11 M5 (WiFi) (12GB/512GB),APPLE,2025,24499000,12,512,Apple M5,12 MP • Wide • f/1.8,8160,29,iPadOS 26,https://carisinyal.com/hp/apple-ipad-pro-11-m5-2025/
iPad Pro 11 M5 (WiFi) (16GB/1024GB),APPLE,2025,32499000,16,1024,Apple M5,12 MP • Wide • f/1.8,8160,29,iPadOS 26,https://carisinyal.com/hp/apple-ipad-pro-11-m5-2025/
iPad Pro 11 M5 (WiFi) (16GB/2048GB),APPLE,2025,39999000,16,2048,Apple M5,12 MP • Wide • f/1.8,8160,29,iPadOS 26,https://carisinyal.com/hp/apple-ipad-pro-11-m5-2025/
